iter	Passed	Remaining
242	57538	179246
243	57800	179085
244	58041	178863
245	58292	178667
246	58520	178404
247	58781	178239
248	59023	178018
249	59269	177808
250	59509	177579
251	59746	177343
252	59972	177074
253	60199	176807
254	60425	176536
255	60647	176257
256	60875	175993
257	61096	175712
258	61328	175460
259	61564	175222
260	61835	175081
261	62108	174945
262	62418	174915
263	62664	174702
264	62903	174469
265	63133	174211
266	63357	173936
267	63580	173660
268	63819	173428
269	64078	173249
270	64325	173037
271	64567	172814
272	64802	172568
273	65038	172328
274	65288	172125
275	65526	171889
276	65755	171628
277	65990	171385
278	66235	171168
279	66474	170934
280	66705	170679
281	66938	170432
282	67169	170179
283	67397	169918
284	67677	169787
285	67911	169541
286	68162	169337
287	68396	169091
288	68638	168864
289	68868	168608
290	69102	168362
291	69337	168120
292	69561	167849
293	69801	167618
294	70050	167408
295	70281	167155
296	70509	166896
297	70737	166637
298	70969	166387
299	71200	166133
300	71427	165873
301	71765	165869
302	72149	165968
303	72518	166028
304	72851	166006
305	73267	166168
306	73617	166178
307	73888	166009
308	74156	165831
309	74449	165710
310	74822	165765
311	75264	165967
312	75616	165969
313	75868	165751
314	76182	165666
315	76562	165724
316	76877	165637
317	77119	165394
318	77341	165107
319	77573	164844
320	77799	164565
321	78038	164316
322	78284	164082
323	78525	163837
324	78767	163593
325	79021	163375
326	79273	163153
327	79509	162897
328	79753	162658
329	79995	162415
330	80238	162174
331	80497	161964
332	80734	161710
333	80967	161450
334	81205	161199
335	81433	160928
336	81673	160681
337	81911	160430
338	82144	160169
339	82375	159905
340	82617	159662
341	82853	159408
342	83093	159161
343	83326	158901
344	83549	158622
345	83792	158381
346	84033	158137
347	84267	157881
348	84501	157623
349	84728	157352
350	84953	157078
351	85190	156827
352	85427	156577
353	85661	156320
354	85892	156057
355	86151	155847
356	86396	155609
357	86648	155386
358	86881	155127
359	87105	154854
360	87338	154596
361	87570	154336
362	87802	154077
363	88028	153807
364	88263	153554
365	88502	153307
366	88733	153046
367	88984	152821
368	89215	152561
369	89441	152292
370	89681	152048
371	89931	151819
372	90171	151574
373	90407	151323
374	90647	151078
375	90880	150822
376	91118	150575
377	91348	150314
378	91577	150051
379	91806	149789
380	92038	149532
381	92276	149284
382	92506	149024
383	92737	148765
384	92985	148535
385	93216	148276
386	93454	148030
387	93691	147780
388	93933	147541
389	94168	147288
390	94389	147015
391	94618	146754
392	94857	146509
393	95094	146262
394	95323	146001
395	95565	145761
396	95807	145521
397	96044	145272
398	96285	145031
399	96525	144788
400	96764	144544
401	97013	144313
402	97252	144069
403	97503	143842
404	97744	143599
405	97978	143347
406	98215	143100
407	98453	142853
408	98704	142626
409	98950	142391
410	99186	142143
411	99421	141892
412	99657	141643
413	99894	141396
414	100137	141157
415	100365	140897
416	100602	140650
417	100828	140388
418	101069	140146
419	101298	139888
420	101537	139644
421	101769	139390
422	102004	139141
423	102232	138881
424	102467	138632
425	102710	138394
426	102947	138147
427	103178	137892
428	103417	137648
429	103654	137401
430	103890	137155
431	104126	136907
432	104352	136645
433	104625	136446
434	104871	136212
435	105123	135985
436	105352	135728
437	105591	135485
438	105855	135273
439	106108	135047
440	106339	134792
441	106583	134556
442	106830	134321
443	107098	134114
444	107345	133880
445	107585	133637
446	107827	133397
447	108066	133153
448	108308	132912
449	108550	132672
450	108782	132419
451	109014	132168
452	109275	131950
453	109535	131731
454	109867	131599
455	110420	131729
456	110899	131768
457	111148	131533
458	111411	131315
459	111641	131057
460	111913	130849
461	112148	130597
462	112491	130471
463	112914	130435
464	113147	130180
465	113367	129910
466	113597	129651
467	113818	129383
468	114057	129135
469	114282	128871
470	114506	128606
471	114737	128350
472	114967	128092
473	115190	127827
474	115425	127575
475	115654	127317
476	115878	127052
477	116104	126792
478	116330	126530
479	116595	126312
480	116815	126043
481	117040	125781
482	117268	125522
483	117494	125263
484	117730	125012
485	117962	124758
486	118191	124501
487	118413	124236
488	118637	123974
489	118856	123708
490	119082	123447
491	119305	123185
492	119533	122928
493	119753	122662
494	119979	122403
495	120213	122152
496	120447	121901
497	120671	121640
498	120899	121384
499	121137	121137
500	121373	120888
501	121631	120662
502	121874	120421
503	122130	120192
504	122362	119939
505	122595	119687
506	122820	119429
507	123054	119178
508	123283	118923
509	123515	118671
510	123741	118414
511	123994	118181
512	124224	117928
513	124466	117686
514	124703	117439
515	124942	117194
516	125179	116946
517	125422	116706
518	125658	116457
519	125891	116207
520	126124	115956
521	126352	115702
522	126590	115456
523	126816	115199
524	127055	114955
525	127290	114706
526	127527	114460
527	127808	114253
528	128033	113996
529	128287	113764
530	128539	113531
531	128827	113329
532	129059	113078
533	129299	112834
534	129532	112584
535	129757	112326
536	129994	112080
537	130218	111823
538	130439	111563
539	130668	111310
540	130893	111053
541	131135	110811
542	131361	110556
543	131585	110299
544	131815	110047
545	132044	109794
546	132273	109542
547	132500	109288
548	132772	109071
549	133022	108836
550	133257	108589
551	133488	108338
552	133715	108084
553	133942	107830
554	134172	107579
555	134404	107330
556	134629	107075
557	134849	106816
558	135089	106573
559	135310	106315
560	135542	106066
561	135764	105809
562	135994	105558
563	136221	105306
564	136447	105052
565	136677	104802
566	136898	104545
567	137127	104293
568	137359	104045
569	137588	103794
570	137847	103566
571	138079	103318
572	138325	103080
573	138549	102825
574	138785	102580
575	139073	102373
576	139299	102121
577	139526	101868
578	139749	101613
579	139974	101360
580	140201	101109
581	140467	100885
582	140697	100636
583	140919	100381
584	141161	100140
585	141405	99900
586	141642	99656
587	141865	99402
588	142089	99149
589	142321	98901
590	142724	98771
591	143172	98672
592	143493	98485
593	144155	98530
594	144554	98394
595	144801	98153
596	145028	97900
597	145247	97641
598	145470	97384
599	145696	97131
600	145921	96876
601	146202	96658
602	146442	96414
603	146682	96168
604	146913	95918
605	147144	95668
606	147382	95421
607	147606	95167
608	147837	94917
609	148067	94666
610	148293	94412
611	148518	94158
612	148742	93904
613	148962	93647
614	149191	93396
615	149422	93146
616	149650	92894
617	149871	92639
618	150102	92389
619	150322	92133
620	150550	91881
621	150770	91625
622	151023	91389
623	151258	91143
624	151495	90897
625	151718	90643
626	151947	90393
627	152185	90147
628	152406	89893
629	152634	89642
630	152861	89391
631	153091	89141
632	153316	88889
633	153550	88642
634	153775	88390
635	154006	88142
636	154239	87894
637	154463	87642
638	154733	87416
639	154957	87163
640	155192	86917
641	155415	86664
642	155639	86412
643	155873	86165
644	156120	85926
645	156348	85676
646	156587	85433
647	156824	85188
648	157056	84941
649	157282	84690
650	157516	84444
651	157757	84202
652	157986	83953
653	158219	83706
654	158445	83455
655	158680	83210
656	158906	82960
657	159142	82715
658	159428	82496
659	159659	82248
660	159906	82009
661	160138	81762
662	160378	81519
663	160628	81281
664	160845	81027
665	161076	80780
666	161296	80527
667	161527	80280
668	161764	80036
669	161990	79786
670	162222	79539
671	162447	79290
672	162690	79048
673	162922	78802
674	163149	78553
675	163370	78302
676	163591	78050
677	163811	77798
678	164106	77581
679	164325	77329
680	164551	77080
681	164820	76851
682	165043	76601
683	165269	76352
684	165490	76101
685	165712	75851
686	165938	75602
687	166163	75353
688	166435	75125
689	166657	74875
690	166900	74634
691	167129	74387
692	167353	74137
693	167577	73888
694	167798	73638
695	168029	73392
696	168260	73146
697	168480	72895
698	168704	72646
699	168975	72418
700	169208	72172
701	169432	71924
702	169664	71678
703	169892	71432
704	170168	71205
705	170405	70961
706	170679	70734
707	170916	70490
708	171155	70248
709	171407	70011
710	171646	69769
711	171872	69521
712	172106	69277
713	172338	69031
714	172566	68785
715	172789	68536
716	173018	68290
717	173249	68044
718	173487	67802
719	173715	67555
720	173944	67310
721	174169	67062
722	174392	66814
723	174619	66567
724	174846	66321
725	175082	66078
726	175308	65831
727	175539	65586
728	175766	65339
729	175996	65094
730	176232	64851
731	176453	64603
732	176677	64355
733	176910	64112
734	177188	63884
735	177450	63650
736	177687	63408
737	177923	63165
738	178157	62921
739	178406	62683
740	178641	62440
741	178862	62192
742	179103	61951
743	179329	61704
744	179560	61460
745	179787	61214
746	180014	60968
747	180242	60723
748	180480	60481
749	180712	60237
750	180939	59991
751	181175	59749
752	181434	59514
753	181751	59298
754	182031	59069
755	182299	58837
756	182568	58605
757	182814	58365
758	183189	58166
759	183450	57931
760	183687	57689
761	183942	57451
762	184192	57213
763	184433	56971
764	184690	56734
765	184920	56489
766	185154	56246
767	185385	56001
768	185920	55848
769	186235	55628
770	186536	55404
771	186881	55193
772	187226	54981
773	187614	54781
774	187990	54577
775	188237	54336
776	188472	54091
777	188716	53849
778	188954	53605
779	189222	53370
780	189473	53130
781	189720	52888
782	189961	52645
783	190261	52418
784	190498	52174
785	190742	51932
786	190971	51686
787	191206	51441
788	191442	51197
789	191677	50952
790	191906	50706
791	192158	50465
792	192395	50221
793	192677	49989
794	192919	49746
795	193157	49502
796	193390	49257
797	193618	49011
798	193850	48765
799	194105	48526
800	194351	48284
801	194589	48040
802	194820	47795
803	195100	47561
804	195356	47322
805	195588	47077
806	195810	46829
807	196032	46582
808	196268	46337
809	196495	46091
810	196719	45844
811	196942	45597
812	197166	45350
813	197431	45113
814	197659	44867
815	197885	44621
816	198118	44376
817	198364	44134
818	198638	43899
819	198905	43662
820	199134	43416
821	199365	43171
822	199590	42925
823	199856	42687
824	200079	42441
825	200309	42196
826	200538	41950
827	200769	41705
828	201002	41461
829	201236	41217
830	201468	40972
831	201696	40727
832	201930	40483
833	202202	40246
834	202440	40003
835	202679	39760
836	202920	39517
837	203147	39271
838	203384	39028
839	203614	38783
840	203843	38538
841	204067	38293
842	204295	38047
843	204530	37804
844	204771	37561
845	205002	37317
846	205234	37073
847	205461	36828
848	205700	36585
849	205922	36339
850	206147	36094
851	206369	35848
852	206594	35603
853	206835	35360
854	207072	35117
855	207305	34873
856	207545	34631
857	207774	34386
858	208018	34145
859	208247	33900
860	208475	33656
861	208703	33411
862	208927	33166
863	209150	32921
864	209379	32677
865	209618	32435
866	209847	32191
867	210075	31946
868	210302	31702
869	210566	31463
870	210791	31219
871	211065	30982
872	211293	30737
873	211523	30494
874	211770	30252
875	211997	30008
876	212233	29765
877	212459	29521
878	212686	29277
879	212919	29034
880	213155	28791
881	213394	28549
882	213627	28306
883	213862	28063
884	214099	27820
885	214340	27578
886	214565	27334
887	214793	27091
888	215020	26847
889	215296	26609
890	215530	26366
891	215762	26123
892	216187	25903
893	216534	25674
894	216902	25446
895	217299	25222
896	217729	25001
897	218762	24848
898	219162	24622
899	219411	24379
900	220018	24175
901	220515	23958
902	220915	23730
903	221334	23504
904	221702	23272
905	222100	23043
906	222353	22799
907	222590	22553
908	222833	22307
909	223067	22061
910	223297	21814
911	223523	21568
912	223761	21322
913	224003	21076
914	224234	20830
915	224461	20583
916	224693	20337
917	224949	20093
918	225199	19848
919	225429	19602
920	225657	19356
921	225905	19111
922	226130	18864
923	226357	18618
924	226578	18371
925	226805	18124
926	227030	17878
927	227290	17634
928	227516	17388
929	227742	17141
930	227990	16897
931	228217	16651
932	228445	16404
933	228669	16158
934	228902	15913
935	229134	15667
936	229362	15421
937	229602	15176
938	229834	14930
939	230087	14686
940	230329	14441
941	230553	14195
942	230785	13949
943	231010	13704
944	231251	13459
945	231477	13213
946	231700	12967
947	231936	12722
948	232168	12476
949	232418	12232
950	232653	11987
951	232882	11741
952	233110	11496
953	233339	11251
954	233565	11005
955	233794	10760
956	234026	10515
957	234270	10270
958	234502	10025
959	234756	9781
960	234990	9536
961	235222	9291
962	235484	9047
963	235711	8802
964	235941	8557
965	236191	8313
966	236419	8068
967	236678	7824
968	236922	7579
969	237148	7334
970	237374	7089
971	237599	6844
972	237830	6599
973	238069	6355
974	238315	6110
975	238540	5865
976	238764	5620
977	239007	5376
978	239239	5131
979	239487	4887
980	239728	4643
981	239977	4398
982	240216	4154
983	240459	3909
984	240688	3665
985	240921	3420
986	241172	3176
987	241445	2932
988	241699	2688
989	241935	2443
990	242215	2199
991	242448	1955
992	242749	1711
993	242980	1466
994	243211	1222
995	243443	977
996	243670	733
997	243918	488
998	244151	244
999	244381	0
