iter	Accuracy	MultiClass
111	0.8812589413	0.6392565601
112	0.8769670959	0.6367774816
113	0.8826895565	0.6318375991
114	0.8841201717	0.6287306015
115	0.8884120172	0.6249769449
116	0.8898426323	0.6209619715
117	0.8898426323	0.6165071668
118	0.8898426323	0.6121093443
119	0.8969957082	0.6074592265
120	0.8969957082	0.6048097358
121	0.8984263233	0.6009345383
122	0.8984263233	0.5970893462
123	0.8984263233	0.594803262
124	0.8998569385	0.5908482871
125	0.9012875536	0.5886490693
126	0.9012875536	0.5849447177
127	0.904148784	0.5823608056
128	0.9070100143	0.5791803373
129	0.9098712446	0.5748494531
130	0.9098712446	0.572308598
131	0.9098712446	0.5686963087
132	0.9113018598	0.5649825248
133	0.912732475	0.5623364552
134	0.9141630901	0.559067477
135	0.912732475	0.5566853301
136	0.9141630901	0.5549636015
137	0.9141630901	0.5519109484
138	0.9184549356	0.5478881151
139	0.9198855508	0.5448882252
140	0.9170243205	0.5415448521
141	0.9198855508	0.5388168058
142	0.9198855508	0.5364578454
143	0.9184549356	0.5338259394
144	0.9198855508	0.5310098094
145	0.921316166	0.5290366257
146	0.9241773963	0.5263019404
147	0.9270386266	0.5235558078
148	0.9284692418	0.5189228797
149	0.9284692418	0.5168172067
150	0.9284692418	0.5141750977
151	0.9313304721	0.5116993184
152	0.9341917024	0.5088393284
153	0.9341917024	0.5068699588
154	0.9356223176	0.5046329125
155	0.9370529328	0.5017064044
156	0.9384835479	0.5001422718
157	0.9384835479	0.4974417306
158	0.9399141631	0.4946001541
159	0.9384835479	0.4920909337
160	0.9413447783	0.4903454304
161	0.9427753934	0.486798492
162	0.9442060086	0.4843266366
163	0.9427753934	0.4819627928
164	0.9413447783	0.4793568966
165	0.9413447783	0.4767647211
166	0.9442060086	0.4747600981
167	0.9442060086	0.4717765098
168	0.9470672389	0.4686780283
169	0.9456366237	0.4671993535
170	0.9499284692	0.4646281015
171	0.9527896996	0.4620588447
172	0.9527896996	0.4599026706
173	0.9542203147	0.4580242545
174	0.9513590844	0.455169275
175	0.9542203147	0.4532962226
176	0.9542203147	0.4520013126
177	0.9556509299	0.4504352452
178	0.9585121602	0.4476698462
179	0.9599427754	0.4460409445
180	0.9628040057	0.4439866476
181	0.9628040057	0.4410837142
182	0.9613733906	0.438636713
183	0.9613733906	0.4372663713
184	0.9613733906	0.4342842242
185	0.9628040057	0.4330820054
186	0.9656652361	0.4307096467
187	0.9656652361	0.4282430301
188	0.9656652361	0.4268484737
189	0.9656652361	0.4241845722
190	0.9656652361	0.4215044086
191	0.9656652361	0.4204236827
192	0.9670958512	0.4182817807
193	0.9670958512	0.4161748148
194	0.9642346209	0.413912343
195	0.9656652361	0.411869453
196	0.9656652361	0.4110730917
197	0.9656652361	0.4097548787
198	0.9656652361	0.4081164846
199	0.9670958512	0.4060950251
200	0.9656652361	0.4038706554
201	0.9670958512	0.4018252083
202	0.9670958512	0.3998661939
203	0.9656652361	0.3986817911
204	0.9670958512	0.3970543947
205	0.9670958512	0.3950944947
206	0.9713876967	0.3923463686
207	0.9685264664	0.3903398799
208	0.9713876967	0.3883618092
209	0.9713876967	0.3871649319
210	0.9713876967	0.3853482227
211	0.9728183119	0.38322741
212	0.9728183119	0.3813425544
213	0.9728183119	0.3806476511
214	0.9728183119	0.3801744964
215	0.9728183119	0.3782251481
216	0.9728183119	0.377185769
217	0.9728183119	0.3745602331
218	0.974248927	0.3733779729
219	0.974248927	0.3714619756
220	0.974248927	0.3702930437
221	0.974248927	0.3698369151
222	0.974248927	0.3687384941
223	0.9756795422	0.366326168
224	0.9756795422	0.3648851192
225	0.9756795422	0.3633465167
226	0.9756795422	0.3621291351
227	0.9756795422	0.3601085296
228	0.9771101574	0.3589460232
229	0.9756795422	0.3573313247
230	0.9756795422	0.3563465786
231	0.9756795422	0.3544883787
232	0.9756795422	0.3528156249
233	0.9756795422	0.3523603478
234	0.9756795422	0.3505485735
235	0.9771101574	0.3500086971
236	0.9771101574	0.3484409274
237	0.9771101574	0.3475735517
238	0.9771101574	0.3471117945
239	0.9771101574	0.3455018311
240	0.9771101574	0.3444318055
241	0.9771101574	0.3434861707
242	0.9771101574	0.3422430643
243	0.9785407725	0.3416155937
244	0.9785407725	0.3406397173
245	0.9771101574	0.339405202
246	0.9771101574	0.337664807
247	0.9771101574	0.336209109
248	0.9771101574	0.3347120128
249	0.9771101574	0.3336572055
250	0.9771101574	0.3329790677
251	0.9785407725	0.3314123751
252	0.9785407725	0.3303203326
253	0.9785407725	0.3287509521
254	0.9799713877	0.3277207949
255	0.9785407725	0.326300368
256	0.9785407725	0.3251488538
257	0.9785407725	0.3238400005
258	0.9785407725	0.3225722673
259	0.9785407725	0.3214200022
260	0.9785407725	0.3203949028
261	0.9785407725	0.3195010846
262	0.9799713877	0.3181944725
263	0.9814020029	0.3161907122
264	0.9814020029	0.3150569675
265	0.9814020029	0.3141011659
266	0.9814020029	0.3135831467
267	0.9814020029	0.3126402513
268	0.9814020029	0.3115779913
269	0.9814020029	0.310515061
270	0.9814020029	0.309533542
271	0.9814020029	0.3086018804
272	0.982832618	0.3078757951
273	0.9842632332	0.3068432165
274	0.9842632332	0.3056727423
275	0.9842632332	0.3043595617
276	0.9842632332	0.3036781231
277	0.9842632332	0.3025526689
278	0.9842632332	0.3012840199
279	0.9842632332	0.3002089936
280	0.9842632332	0.2993284568
281	0.9842632332	0.2985053073
282	0.9842632332	0.2972566781
283	0.9842632332	0.2959807236
284	0.9842632332	0.2946674403
285	0.9842632332	0.2936365398
286	0.9856938484	0.2922222955
287	0.9856938484	0.2910018237
288	0.9899856938	0.2900181824
289	0.9899856938	0.2887373697
290	0.9899856938	0.2881393105
291	0.9899856938	0.2875443125
292	0.9899856938	0.2866444786
293	0.9899856938	0.2852880293
294	0.9885550787	0.2841001521
